City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
312,makat,100,KZ,1554478836,86,47.65,53.35,49.4,3.38
313,anloga,20,GH,1554476400,70,5.79,0.9,89.6,12.75
314,belmonte,88,PT,1554478236,83,40.36,-7.35,46.0,8.99
315,yulara,0,AU,1554476400,22,-25.24,130.99,75.2,5.82
316,pastos bons,92,BR,1554478837,88,-6.6,-44.09,78.74,2.93
317,porto de moz,32,BR,1554478779,80,-1.75,-52.24,83.69,5.73
318,pangody,44,RU,1554478837,88,65.85,74.49,26.63,21.61
319,takoradi,0,GH,1554478837,86,4.89,-1.75,87.29,11.99
320,cam ranh,20,VN,1554476400,79,11.92,109.15,84.2,8.05
321,cairns,75,AU,1554478402,94,-16.92,145.77,75.2,11.41
322,hovd,0,NO,1554478802,49,63.83,10.7,48.2,26.4
323,kurilsk,92,RU,1554478838,96,45.23,147.88,30.23,12.1
324,clovis,40,US,1554478808,81,36.83,-119.7,55.99,4.7
325,bethel,90,US,1554476160,79,60.79,-161.76,23.0,11.41
326,taltal,0,CL,1554478838,76,-25.41,-70.49,65.33,2.71
327,konyar,0,HU,1554478200,30,47.32,21.67,69.8,2.24
328,vanimo,76,PG,1554478839,98,-2.67,141.3,83.33,5.95
329,kibre mengist,0,ET,1554478839,35,5.87,38.99,77.21,6.4
330,victoria,75,BN,1554476400,83,5.28,115.24,82.4,3.36
331,waddan,92,LY,1554478839,80,29.16,16.14,65.33,14.79
332,coahuayana,20,MX,1554478839,33,18.62,-100.35,77.57,2.48
333,sokoto,0,NG,1554478840,14,13.06,5.24,107.81,5.73
334,bam,36,IR,1554478840,26,29.11,58.36,71.9,3.6
335,port hedland,0,AU,1554476400,88,-20.31,118.58,77.0,8.05
336,mount isa,0,AU,1554476400,47,-20.73,139.49,80.6,10.29
337,tuburan,75,PH,1554476400,74,10.73,123.82,82.4,4.7
338,pimentel,92,BR,1554478841,90,-3.7,-45.5,78.74,3.38
339,matara,0,PE,1554476400,40,-13.74,-72.9,53.6,1.59
340,makakilo city,1,US,1554478686,88,21.35,-158.09,69.01,4.7
341,xiaoyi,0,CN,1554478841,23,37.15,111.77,51.38,4.94
342,sawang daen din,24,TH,1554478841,93,17.48,103.46,74.06,0.92
343,cascavelle,75,MU,1554478741,88,-20.29,57.41,78.8,18.34
344,puerto cabezas,75,NI,1554476400,74,14.04,-83.39,84.2,6.93
345,ulkan,0,RU,1554478842,78,57.24,107.32,16.19,2.48
346,grand gaube,75,MU,1554478741,88,-20.01,57.66,78.8,18.34
347,moron,8,VE,1554478842,66,10.49,-68.2,76.76,4.5
348,vryburg,48,ZA,1554478842,76,-26.96,24.73,69.65,5.84
